model,neuron_idx,target_fps,actual_fps,evaluation_mode,tolerance_sec,tolerance_bins,burst_gap_sec,n_true_events,n_predicted_events,n_matched_events,TP,FP,FN,precision,recall,F1,mean_abs_timing_error_sec,median_abs_timing_error_sec,mean_signed_timing_error_sec,median_signed_timing_error_sec,std_timing_error_sec
SimpleBaseline,1,100,100.000194883485,spike_bins,0.1,10,0.1,1981,1302,861,861,441,1120,0.661290322580645,0.434628975265018,0.524520255863539,0.035865203043086,0.0299999415350684,-0.00211381701873111,0,0.045501672669764
SimpleBaseline,1,100,100.000194883485,burst_onsets,0.1,10,0.1,949,1302,684,684,618,265,0.525345622119816,0.720758693361433,0.60772989782319,0.0446344159388712,0.0399999220467579,-0.00252923483702088,-0.00499999025584474,0.053368478380211
OASIS,1,100,100.000194883485,spike_bins,0.1,10,0.1,1981,2989,1106,1106,1883,875,0.370023419203747,0.558303886925795,0.445070422535211,0.0341861901579547,0.0199999610233789,0.00263109794656568,0,0.0456727936263053
OASIS,1,100,100.000194883485,burst_onsets,0.1,10,0.1,949,2989,864,864,2125,85,0.289059886249582,0.910432033719705,0.438801422041646,0.0403934397983753,0.0299999415350684,0.00180555203683282,0.00999998051168947,0.050248223254256
SimpleBaseline,1,50,50.0000974417425,spike_bins,0.1,5,0.1,1848,1128,790,790,338,1058,0.700354609929078,0.427489177489177,0.530913978494624,0.0356455001530601,0.0299999415350684,0.00521517970989375,0,0.0460245554054553
SimpleBaseline,1,50,50.0000974417425,burst_onsets,0.1,5,0.1,935,1128,638,638,490,297,0.565602836879433,0.682352941176471,0.618516723218614,0.0459246753906742,0.0399999220467579,0.00836988964458022,0,0.0545870368339886
OASIS,1,50,50.0000974417425,spike_bins,0.1,5,0.1,1848,2137,948,948,1189,900,0.44361254094525,0.512987012987013,0.475784190715182,0.0318564780013736,0.0199999610233789,0.00451475913396951,0,0.0449506280273484
OASIS,1,50,50.0000974417425,burst_onsets,0.1,5,0.1,935,2137,771,771,1366,164,0.360786148806738,0.824598930481283,0.501953125,0.041660100393705,0.0399999220467579,0.00814525001470946,0.0199999610233789,0.0513409765127429
SimpleBaseline,1,20,20.000038976697,spike_bins,0.1,2,0.1,1517,744,600,600,144,917,0.806451612903226,0.3955174686882,0.530738611233967,0.0358332635002206,0.0499999025584474,0.0219999571257168,0,0.046038291595621
SimpleBaseline,1,20,20.000038976697,burst_onsets,0.1,2,0.1,914,744,500,500,244,414,0.672043010752688,0.547045951859956,0.60313630880579,0.0548998930091751,0.0499999025584474,0.0366999284779004,0.0499999025584474,0.0555361732175551
OASIS,1,20,20.000038976697,spike_bins,0.1,2,0.1,1517,976,660,660,316,857,0.676229508196721,0.43506921555702,0.529482551143201,0.0286363078289289,0,0.0130302776364439,0,0.0432541030773285
OASIS,1,20,20.000038976697,burst_onsets,0.1,2,0.1,914,976,577,577,399,337,0.591188524590164,0.63129102844639,0.610582010582011,0.0486134234580397,0.0499999025584474,0.029376025939885,0.0499999025584474,0.0529440397850257
SimpleBaseline,1,10,10.0000194883485,spike_bins,0.1,1,0.1,1285,540,472,472,68,813,0.874074074074074,0.367315175097276,0.517260273972603,0.0527541344790398,0.0999998051168947,0.0472456706378549,0.0499999025584474,0.0552241887687427
SimpleBaseline,1,10,10.0000194883485,burst_onsets,0.1,1,0.1,882,540,345,345,195,537,0.638888888888889,0.391156462585034,0.485232067510549,0.0797099895859305,0.0999998051168947,0.0692752273128633,0.0999998051168947,0.0564016579651469
OASIS,1,10,10.0000194883485,spike_bins,0.1,1,0.1,1285,515,477,477,38,808,0.92621359223301,0.371206225680934,0.53,0.0293500476234073,0,0.020125746941765,0,0.050351448644502
OASIS,1,10,10.0000194883485,burst_onsets,0.1,1,0.1,882,515,427,427,88,455,0.829126213592233,0.484126984126984,0.611309949892627,0.0672129837670931,0.0999998051168947,0.0559717878757326,0.0999998051168947,0.0599738928039239
